['1', '的', 'de']
['2', '一(A壹)', 'yī']
['3', '是', 'shì']
['4', '不', 'bù']
['5', '了', 'le']
['6', '人', 'rén']
['7', '我', 'wǒ']
['8', '在', 'zài']
['9', '有', 'yǒu']
['10', '他', 'tā']
['11', '这(F這)', 'zhè']
['12', '中', 'zhōng']
['13', '大', 'dà']
['14', '来(F來)', 'lái']
['15', '上', 'shàng']
['16', '国(F國)', 'guó']
['17', '个(F個,箇)', 'gè']
['18', '到', 'dào']
['19', '说(F說)', 'shuō']
['20', '们(F們)', 'men']
['21', '为(F為)', 'wèi']
['22', '子', 'zǐ']
['23', '和', 'hé']
['24', '你', 'nǐ']
['25', '地', 'dì']
['26', '出', 'chū']
['27', '道', 'dào']
['28', '也', 'yě']
['29', '时(F時)', 'shí']
['30', '年', 'nián']
['31', '得', 'de']
['32', '就', 'jiù']
['33', '那', 'nà']
['34', '要', 'yào']
['35', '下', 'xià']
['36', '以', 'yǐ']
['37', '生', 'shēng']
['38', '会(F會)', 'huì']
['39', '自', 'zì']
['40', '着(F著)', 'zhe']
['41', '去', 'qù']
['42', '之', 'zhī']
['43', '过(F過)', 'guò']
['44', '家', 'jiā']
['45', '学(F學)', 'xué']
['46', '对(F對)', 'duì']
['47', '可', 'kě']
['48', '她', 'tā']
['49', '里', 'lǐ']
['50', '后', 'hòu']
['51', '小', 'xiǎo']
['52', '么', 'me/mo']
['53', '心', 'xīn']
['54', '多', 'duō']
['55', '天', 'tiān']
['56', '而', 'ér']
['57', '能', 'néng']
['58', '好', 'hǎo']
['59', '都', 'dōu']
['60', '然', 'rán']
['61', '没(F沒)', 'méi']
['62', '日', 'rì']
['63', '于', 'yú']
['64', '起', 'qǐ']
['65', '还(F還)', 'hái']
['66', '发', 'fā']
['67', '成', 'chéng']
['68', '事', 'shì']
['69', '只(F祇)', 'zhǐ']
['70', '作', 'zuò']
['71', '当', 'dāng']
['72', '想', 'xiǎng']
['73', '看', 'kàn']
['74', '文', 'wén']
['75', '无(F無)', 'wú']
['76', '开(F開)', 'kāi']
['77', '手', 'shǒu']
['78', '十(A拾)', 'shí']
['79', '用', 'yòng']
['80', '主', 'zhǔ']
['81', '行', 'xíng']
['82', '方', 'fāng']
['83', '又', 'yòu']
['84', '如', 'rú']
['85', '前', 'qián']
['86', '所', 'suǒ']
['87', '本', 'běn']
['88', '见(F見)', 'jiàn']
['89', '经(F經)', 'jīng']
['90', '头(F頭)', 'tóu']
['91', '面', 'miàn']
['92', '公', 'gōng']
['93', '同', 'tóng']
['94', '三(A叁)', 'sān']
['95', '已', 'yǐ']
['96', '老', 'lǎo']
['97', '从(F從)', 'cóng']
['98', '动(F動)', 'dòng']
['99', '两(F兩)', 'liǎng']
['100', '长(F長)', 'cháng']
['101', '知', 'zhī']
['102', '民', 'mín']
['103', '样(F樣)', 'yàng']
['104', '现(F現)', 'xiàn']
['105', '分', 'fēn']
['106', '将(F將)', 'jiāng']
['107', '外', 'wài']
['108', '但', 'dàn']
['109', '身', 'shēn']
['110', '些', 'xiē']
['111', '与(F與)', 'yǔ']
['112', '高', 'gāo']
['113', '意', 'yì']
['114', '进(F進)', 'jìn']
['115', '把', 'bǎ']
['116', '法', 'fǎ']
['117', '此', 'cǐ']
['118', '实(F實)', 'shí']
['119', '回', 'huí']
['120', '二(A贰)', 'èr']
['121', '理', 'lǐ']
['122', '美', 'měi']
['123', '点(F點)', 'diǎn']
['124', '月', 'yuè']
['125', '明', 'míng']
['126', '其', 'qí']
['127', '种(F種)', 'zhǒng']
['128', '声(F聲)', 'shēng']
['129', '全', 'quán']
['130', '工', 'gōng']
['131', '己', 'jǐ']
['132', '话(F話)', 'huà']
['133', '儿(F兒)', 'ér']
['134', '者', 'zhě']
['135', '向', 'xiàng']
['136', '情', 'qíng']
['137', '部', 'bù']
['138', '正', 'zhèng']
['139', '名', 'míng']
['140', '定', 'dìng']
['141', '女', 'nǚ']
['142', '问(F問)', 'wèn']
['143', '力', 'lì']
['144', '机(F機)', 'jī']
['145', '给(F給)', 'gěi']
['146', '等', 'děng']
['147', '几', 'jī']
['148', '很', 'hěn']
['149', '业(F業)', 'yè']
['150', '最', 'zuì']
['151', '间(F間)', 'jiān']
['152', '新', 'xīn']
['153', '什(F甚)', 'shén']
['154', '打', 'dǎ']
['155', '便', 'biàn']
['156', '位', 'wèi']
['157', '因', 'yīn']
['158', '重', 'zhòng']
['159', '被', 'bèi']
['160', '走', 'zǒu']
['161', '电(F電)', 'diàn']
['162', '四(A肆)', 'sì']
['163', '第', 'dì']
['164', '门(F門)', 'mén']
['165', '相', 'xiāng']
['166', '次', 'cì']
['167', '东(F東)', 'dōng']
['168', '政', 'zhèng']
['169', '海', 'hǎi']
['170', '口', 'kǒu']
['171', '使', 'shǐ']
['172', '教', 'jiāo']
['173', '西', 'xī']
['174', '再', 'zài']
['175', '平', 'píng']
['176', '真', 'zhēn']
['177', '听(F聽)', 'tīng']
['178', '世', 'shì']
['179', '气(F氣)', 'qì']
['180', '信', 'xìn']
['181', '北', 'běi']
['182', '少', 'shǎo']
['183', '关(F關)', 'guān']
['184', '并', 'bìng']
